gender,category,preferred_stream,entrance_exam,entrance_score,board_percentage,scholarship_eligibility,admission_status
male,sc,architecture,none,0,97.15,no,rejected
male,obc,medical,neet,634,83.02,yes,admitted
female,st,law,cet,175,64.4,yes,admitted
female,general,commerce,none,0,65.72,no,rejected
male,general,commerce,none,0,91.6,no,rejected
female,obc,law,none,0,54.03,no,rejected
female,ews,engineering,jee,14,89.7,yes,admitted
male,general,science,none,0,87.39,no,rejected
female,general,engineering,cet,105,67.36,no,rejected
female,sc,nursing,cet,128,80.86,no,rejected
other,general,agriculture,cet,102,90.07,no,rejected
male,sc,medical,neet,634,56.74,no,admitted
male,obc,pharmacy,cet,4,97.49,no,rejected
other,st,science,none,0,61.58,yes,admitted
female,general,pharmacy,cet,11,82.7,no,rejected
female,general,law,none,0,83.43,no,rejected
other,general,engineering,jee,298,60.35,no,admitted
other,st,computer applications,cet,110,55.62,no,rejected
male,st,computer applications,none,0,88.28,no,rejected
other,general,engineering,jee,176,70.55,yes,admitted
female,sc,science,none,0,83.39,yes,admitted
female,st,medical,neet,265,52.7,no,rejected
other,general,arts,none,0,88.77,no,rejected
male,general,law,cet,41,89.24,no,rejected
other,st,architecture,none,0,72.07,no,rejected
female,sc,architecture,cet,82,63.44,no,rejected
other,st,medical,neet,452,52.33,no,rejected
female,sc,law,cet,47,64.06,no,rejected
other,ews,computer applications,none,0,69.91,no,rejected
female,general,agriculture,none,0,62.09,no,admitted
female,general,agriculture,cet,21,51.68,no,rejected
female,st,commerce,cet,181,55.8,no,admitted
other,ews,pharmacy,cet,144,81.43,yes,admitted
other,general,medical,neet,114,63.64,yes,admitted
male,st,arts,none,0,92.02,no,rejected
other,ews,commerce,cet,20,60.01,no,rejected
female,sc,commerce,none,0,57.75,no,rejected
male,ews,agriculture,cet,16,69.42,no,rejected
other,obc,management,cet,177,81.53,no,admitted
male,ews,agriculture,cet,20,92.96,yes,admitted
other,sc,arts,none,0,87.17,no,rejected
female,obc,arts,none,0,81.37,no,rejected
other,general,computer applications,none,0,67.48,no,rejected
female,ews,engineering,jee,1,99.53,no,rejected
male,st,management,none,0,62.93,no,rejected
other,st,management,cet,8,60.9,no,admitted
other,st,arts,none,0,79.94,no,admitted
male,obc,nursing,cet,96,89.77,yes,admitted
male,general,science,none,0,98.75,no,rejected
other,st,arts,none,0,69.32,no,rejected
other,obc,arts,cet,113,69.56,no,rejected
male,st,arts,none,0,90.88,no,rejected
other,ews,arts,none,0,95.24,yes,admitted
male,st,law,none,0,78.93,no,rejected
male,sc,nursing,none,0,50.44,no,rejected
female,ews,law,cet,60,75.38,no,rejected
other,sc,architecture,cet,50,69.83,no,rejected
other,sc,management,cet,184,73.69,no,rejected
female,ews,architecture,cet,180,59.11,no,rejected
male,obc,commerce,cet,42,83.86,no,rejected
female,obc,commerce,none,0,99.53,no,rejected
other,general,arts,cet,155,83.06,no,admitted
other,st,arts,none,0,63.5,no,rejected
male,sc,computer applications,cet,111,71.58,no,rejected
female,st,law,none,0,81.6,no,rejected
female,general,nursing,cet,122,87.94,no,rejected
female,obc,nursing,cet,165,93.77,yes,admitted
male,general,management,cet,54,72.68,no,rejected
male,obc,management,none,0,96.56,yes,admitted
female,ews,medical,neet,634,95.86,no,rejected
male,ews,medical,neet,634,86.89,yes,admitted
female,sc,management,cet,132,94.2,no,rejected
male,general,nursing,cet,33,79.04,no,rejected
other,ews,computer applications,none,0,50.44,no,rejected
male,general,commerce,cet,84,74.85,no,rejected
female,general,management,none,0,74.69,no,rejected
female,sc,architecture,cet,186,53.64,no,rejected
female,ews,engineering,jee,233,65.75,no,rejected
female,st,agriculture,none,0,69.74,no,rejected
female,obc,arts,cet,65,83.21,no,rejected
other,sc,architecture,cet,178,75.64,no,admitted
other,general,arts,none,0,50.9,no,rejected
male,obc,nursing,cet,140,98.99,yes,admitted
other,st,law,none,0,66.55,no,rejected
female,sc,agriculture,cet,163,70.74,no,rejected
male,ews,nursing,none,0,80.01,no,rejected
other,sc,engineering,jee,211,98.1,yes,admitted
other,ews,law,none,0,67.84,no,admitted
male,st,management,cet,193,69.21,no,rejected
male,sc,agriculture,none,0,77.34,no,admitted
female,ews,management,none,0,60.92,no,rejected
other,ews,architecture,cet,107,56.04,no,rejected
male,obc,arts,none,0,75.64,no,rejected
female,obc,medical,neet,14,97.86,no,rejected
female,st,agriculture,none,0,74.01,no,rejected
other,general,engineering,cet,66,69.34,no,rejected
other,st,computer applications,none,0,54.36,no,rejected
other,sc,engineering,cet,109,78.18,yes,admitted
male,st,arts,none,0,75.02,no,rejected
other,general,agriculture,none,0,70.54,no,rejected
female,sc,science,cet,51,87.66,no,rejected
female,sc,commerce,none,0,61.46,no,rejected
other,general,science,none,0,90.75,no,rejected
other,sc,management,none,0,89.54,yes,admitted
male,st,science,none,0,54.3,no,rejected
male,sc,management,cet,104,98.59,yes,admitted
other,st,architecture,cet,86,61.08,no,rejected
other,obc,agriculture,none,0,75.25,no,rejected
female,st,architecture,cet,34,68.04,no,rejected
male,obc,arts,cet,181,79.69,no,admitted
male,obc,medical,neet,340,77.04,no,rejected
other,general,law,cet,63,99.52,yes,admitted
other,general,pharmacy,cet,80,96.0,yes,admitted
other,general,nursing,cet,122,63.15,no,rejected
female,general,commerce,none,0,67.45,no,rejected
female,st,arts,none,0,94.12,no,rejected
male,obc,agriculture,none,0,81.52,no,admitted
other,obc,nursing,none,0,89.06,no,rejected
other,general,agriculture,cet,46,78.67,no,rejected
male,sc,science,none,0,97.49,yes,admitted
female,obc,medical,neet,58,76.08,no,admitted
female,obc,arts,cet,115,76.06,no,rejected
other,general,commerce,none,0,58.96,no,rejected
other,sc,commerce,cet,34,63.32,no,rejected
male,obc,nursing,cet,199,97.7,yes,admitted
other,st,pharmacy,cet,2,81.68,no,rejected
male,ews,commerce,none,0,73.79,no,admitted
other,sc,management,cet,167,89.89,no,rejected
other,sc,computer applications,cet,182,95.21,no,rejected
male,ews,law,cet,127,78.25,no,rejected
other,obc,engineering,jee,185,90.24,no,rejected
male,general,law,none,0,61.67,no,rejected
male,st,arts,none,0,60.79,no,rejected
male,st,science,none,0,51.01,no,rejected
other,sc,architecture,none,0,60.31,no,rejected
other,obc,management,none,0,89.12,yes,admitted
female,general,arts,cet,181,80.34,no,rejected
other,sc,arts,none,0,89.54,no,rejected
female,sc,computer applications,none,0,75.09,yes,admitted
female,sc,science,none,0,67.94,no,rejected
other,obc,nursing,cet,148,55.68,no,rejected
female,general,law,none,0,69.56,no,admitted
female,sc,pharmacy,none,0,93.78,no,rejected
male,st,architecture,none,0,70.22,no,rejected
female,general,law,none,0,78.23,no,rejected
other,general,engineering,jee,11,95.45,yes,admitted
other,sc,management,none,0,82.15,no,admitted
male,general,agriculture,cet,144,79.61,no,rejected
female,general,computer applications,none,0,96.61,no,rejected
female,st,management,none,0,65.94,yes,admitted
other,obc,engineering,jee,135,98.78,yes,admitted
other,sc,computer applications,cet,4,93.24,no,rejected
other,st,law,cet,44,78.07,no,rejected
other,general,commerce,cet,93,69.67,no,rejected
female,obc,law,none,0,55.91,no,rejected
female,obc,science,none,0,69.55,no,admitted
female,sc,commerce,none,0,68.89,no,rejected
female,sc,computer applications,none,0,63.2,no,rejected
other,general,computer applications,cet,20,74.2,no,admitted
other,sc,pharmacy,cet,179,98.84,no,rejected
other,st,agriculture,cet,55,68.82,no,rejected
female,ews,medical,neet,528,65.7,yes,admitted
male,sc,agriculture,cet,49,63.99,no,rejected
male,st,law,cet,141,51.56,yes,admitted
male,ews,architecture,cet,181,57.43,no,rejected
female,st,agriculture,none,0,61.46,no,rejected
female,sc,computer applications,none,0,92.82,no,rejected
female,sc,nursing,cet,124,88.48,no,rejected
other,ews,science,cet,183,86.46,yes,admitted
female,st,science,none,0,58.46,no,rejected
other,obc,engineering,cet,58,98.97,no,rejected
female,sc,management,none,0,97.88,no,rejected
other,st,pharmacy,cet,35,82.83,no,rejected
male,sc,architecture,none,0,97.43,yes,admitted
male,sc,arts,none,0,89.07,yes,admitted
other,st,arts,none,0,56.35,no,rejected
other,obc,agriculture,cet,72,78.52,no,rejected
female,st,science,cet,140,65.12,no,rejected
male,st,computer applications,cet,0,66.01,no,rejected
male,ews,medical,neet,286,86.47,no,rejected
female,ews,arts,none,0,81.34,no,admitted
other,st,engineering,jee,203,77.95,no,admitted
female,st,engineering,jee,199,99.53,yes,admitted
other,st,engineering,cet,51,63.08,no,rejected
female,obc,commerce,none,0,93.71,no,rejected
male,ews,nursing,none,0,84.47,yes,admitted
female,sc,arts,none,0,51.4,no,rejected
female,ews,architecture,cet,47,73.58,no,rejected
male,obc,management,cet,72,57.64,no,rejected
other,obc,agriculture,cet,66,55.95,no,rejected
male,st,agriculture,cet,16,84.65,no,rejected
other,sc,engineering,cet,64,94.39,no,rejected
other,sc,science,cet,175,83.97,no,rejected
other,obc,computer applications,none,0,67.06,no,rejected
male,obc,computer applications,none,0,52.25,no,rejected
other,st,nursing,cet,129,73.44,no,rejected
female,general,management,none,0,59.73,no,rejected
other,general,pharmacy,cet,34,91.27,no,rejected
male,ews,arts,none,0,67.43,no,rejected
other,ews,law,cet,187,95.07,yes,admitted
male,general,engineering,jee,133,56.15,no,rejected
other,general,management,none,0,53.11,no,rejected
male,obc,engineering,jee,92,50.44,no,rejected
other,sc,architecture,cet,72,98.98,no,rejected
other,general,architecture,none,0,73.67,no,admitted
female,ews,nursing,cet,167,86.17,yes,admitted
female,sc,agriculture,cet,40,55.21,no,rejected
male,sc,management,cet,189,55.3,no,rejected
male,general,architecture,cet,169,63.43,no,rejected
other,obc,commerce,none,0,55.44,no,rejected
other,st,computer applications,none,0,52.22,no,rejected
other,st,pharmacy,cet,27,53.29,no,rejected
male,obc,pharmacy,cet,51,71.31,no,rejected
male,sc,architecture,cet,105,71.44,no,rejected
other,general,commerce,none,0,74.88,no,rejected
female,sc,commerce,none,0,80.85,no,rejected
male,obc,engineering,jee,94,63.78,yes,admitted
male,ews,arts,none,0,76.43,no,admitted
other,obc,computer applications,none,0,99.37,yes,admitted
other,sc,medical,neet,602,82.4,no,admitted
male,st,law,none,0,90.79,no,rejected
other,general,agriculture,cet,165,94.02,no,rejected
female,obc,agriculture,none,0,61.08,no,rejected
other,ews,nursing,cet,176,60.73,no,rejected
female,st,arts,none,0,60.65,no,rejected
other,obc,arts,cet,83,70.07,no,admitted
female,sc,commerce,cet,24,96.58,no,rejected
other,ews,arts,none,0,93.31,no,rejected
other,general,management,none,0,71.42,no,admitted
female,obc,management,none,0,73.43,no,rejected
male,obc,architecture,cet,113,93.39,no,rejected
male,st,law,none,0,77.78,no,rejected
female,sc,management,none,0,68.83,no,rejected
female,sc,arts,cet,177,52.8,no,admitted
other,obc,medical,neet,555,71.91,no,rejected
male,obc,nursing,cet,52,59.63,no,rejected
other,sc,medical,neet,254,52.62,no,rejected
male,st,agriculture,cet,120,53.15,no,rejected
female,ews,pharmacy,none,0,79.34,no,rejected
female,st,nursing,cet,90,71.28,no,rejected
female,general,pharmacy,none,0,91.69,no,rejected
male,sc,engineering,jee,205,81.31,no,admitted
other,obc,medical,neet,236,53.44,no,rejected
male,ews,medical,neet,195,74.15,no,rejected
other,sc,law,none,0,79.6,no,rejected
female,obc,computer applications,none,0,91.88,no,rejected
other,obc,architecture,none,0,98.21,no,rejected
other,general,computer applications,cet,17,71.82,no,rejected
other,sc,pharmacy,none,0,62.09,no,rejected
female,obc,medical,neet,543,74.81,no,admitted
female,sc,science,cet,136,60.59,no,rejected
female,obc,medical,neet,634,63.68,no,rejected
female,sc,nursing,none,0,57.32,no,rejected
other,st,computer applications,none,0,82.21,no,rejected
female,st,engineering,jee,111,84.78,yes,admitted
female,ews,science,none,0,68.37,no,rejected
male,general,commerce,none,0,50.44,no,rejected
male,general,management,cet,137,80.21,yes,admitted
other,sc,engineering,cet,10,61.76,no,rejected
other,sc,nursing,cet,185,55.74,no,admitted
female,st,commerce,none,0,74.7,no,rejected
female,obc,agriculture,cet,191,66.41,no,admitted
male,sc,management,none,0,68.96,no,rejected
male,st,arts,cet,83,88.46,yes,admitted
other,st,engineering,cet,89,94.06,yes,admitted
female,sc,pharmacy,cet,36,91.92,no,rejected
male,sc,engineering,jee,5,79.18,no,admitted
male,general,management,none,0,57.2,no,rejected
male,sc,science,none,0,68.05,no,rejected
other,sc,nursing,cet,36,72.97,no,rejected
female,general,engineering,jee,108,77.53,no,rejected
male,ews,arts,none,0,57.5,no,rejected
other,st,arts,none,0,64.95,no,admitted
other,st,computer applications,none,0,91.97,yes,admitted
female,sc,science,none,0,99.4,no,rejected
male,ews,computer applications,none,0,61.44,no,rejected
male,general,commerce,none,0,87.69,yes,admitted
other,ews,engineering,cet,77,63.62,no,rejected
female,obc,agriculture,cet,147,57.15,no,rejected
female,ews,science,cet,40,57.19,no,admitted
male,general,law,none,0,91.98,no,rejected
other,obc,architecture,cet,53,72.98,yes,admitted
other,sc,engineering,jee,290,81.59,yes,admitted
female,st,architecture,none,0,94.32,no,rejected
male,general,pharmacy,cet,6,79.84,no,rejected
female,obc,computer applications,cet,173,50.44,no,rejected
other,ews,medical,neet,634,80.74,no,admitted
female,general,agriculture,cet,60,53.41,no,admitted
male,ews,engineering,cet,124,72.72,no,rejected
male,st,nursing,none,0,88.68,yes,admitted
male,ews,commerce,cet,26,91.89,no,rejected
female,ews,engineering,jee,149,70.96,yes,admitted
female,obc,commerce,none,0,79.35,no,admitted
female,ews,law,none,0,89.13,no,rejected
other,sc,medical,neet,38,64.83,no,rejected
male,obc,commerce,none,0,78.82,no,admitted
other,ews,commerce,none,0,61.02,no,rejected
male,sc,medical,neet,564,60.82,no,rejected
female,st,law,cet,149,62.65,no,rejected
male,st,engineering,jee,89,73.69,no,rejected
female,obc,commerce,none,0,54.73,no,rejected
other,ews,medical,neet,271,87.92,no,rejected
male,ews,engineering,jee,191,65.85,yes,admitted
female,sc,law,none,0,90.37,yes,admitted
female,sc,agriculture,none,0,55.82,no,rejected
female,general,arts,cet,181,84.3,no,rejected
female,st,architecture,cet,6,97.05,no,rejected
female,ews,medical,neet,77,94.89,no,rejected
other,ews,management,none,0,95.08,no,rejected
male,sc,management,none,0,61.87,no,rejected
female,ews,arts,none,0,75.45,yes,admitted
female,st,commerce,none,0,98.56,no,rejected
other,sc,pharmacy,cet,58,55.43,no,admitted
other,ews,architecture,cet,97,92.65,no,rejected
other,general,management,none,0,82.37,no,admitted
male,st,science,none,0,64.5,no,rejected
male,st,arts,cet,8,61.76,no,rejected
female,sc,computer applications,cet,170,98.67,no,rejected
female,st,computer applications,none,0,52.32,no,rejected
male,ews,computer applications,none,0,80.28,no,rejected
other,sc,computer applications,none,0,66.34,yes,admitted
other,obc,engineering,jee,64,86.33,yes,admitted
female,sc,commerce,none,0,93.19,yes,admitted
other,sc,commerce,none,0,91.09,yes,admitted
female,sc,commerce,cet,99,91.94,no,rejected
female,obc,law,none,0,97.07,no,rejected
other,sc,science,none,0,89.74,yes,admitted
male,obc,computer applications,cet,168,79.65,no,rejected
male,ews,pharmacy,none,0,61.51,no,rejected
female,sc,engineering,cet,111,64.29,no,rejected
other,ews,computer applications,cet,74,58.77,no,rejected
female,obc,commerce,cet,125,83.63,no,rejected
female,obc,pharmacy,cet,16,53.65,no,rejected
male,obc,law,cet,69,55.19,no,rejected
female,sc,arts,cet,195,75.48,no,rejected
male,st,commerce,none,0,66.66,no,rejected
male,sc,arts,none,0,95.95,no,rejected
other,ews,engineering,cet,195,91.32,no,rejected
female,sc,management,none,0,69.92,yes,admitted
male,ews,architecture,cet,88,94.82,yes,admitted
male,general,pharmacy,cet,150,79.19,yes,admitted
female,obc,agriculture,cet,36,73.31,no,admitted
male,st,pharmacy,cet,199,90.82,yes,admitted
female,obc,arts,cet,71,99.21,yes,admitted
female,st,architecture,none,0,86.54,no,rejected
other,sc,computer applications,cet,74,84.94,no,admitted
female,sc,management,none,0,88.89,no,rejected
male,sc,pharmacy,none,0,71.66,yes,admitted
female,ews,architecture,cet,8,87.85,yes,admitted
female,st,nursing,cet,76,75.38,no,rejected
male,ews,management,none,0,94.98,no,rejected
male,general,management,none,0,93.02,no,rejected
male,ews,architecture,none,0,55.29,no,rejected
other,ews,nursing,cet,82,72.06,no,rejected
male,ews,nursing,none,0,85.02,no,rejected
other,sc,arts,cet,195,55.34,no,rejected
female,sc,management,none,0,66.46,no,rejected
other,sc,architecture,cet,72,67.75,no,admitted
male,ews,pharmacy,none,0,83.13,no,rejected
female,ews,pharmacy,none,0,54.28,no,rejected
male,ews,agriculture,none,0,92.46,no,rejected
other,ews,agriculture,none,0,70.55,no,rejected
female,st,agriculture,none,0,50.44,no,rejected
male,obc,commerce,cet,178,96.61,no,rejected
other,general,arts,none,0,80.68,no,admitted
other,ews,medical,neet,634,58.86,yes,admitted
other,general,computer applications,cet,173,91.9,yes,admitted
other,general,management,cet,128,90.68,no,rejected
male,sc,nursing,cet,105,93.17,yes,admitted
female,st,management,none,0,79.32,no,rejected
other,st,science,cet,125,79.61,no,rejected
female,obc,commerce,none,0,92.41,no,rejected
female,sc,arts,cet,193,81.29,no,rejected
female,st,arts,none,0,83.39,no,rejected
male,ews,nursing,cet,189,97.28,yes,admitted
male,st,architecture,cet,15,76.44,no,rejected
other,general,arts,none,0,57.7,no,rejected
male,obc,nursing,cet,28,99.53,no,rejected
female,general,pharmacy,cet,101,73.46,no,admitted
female,general,commerce,none,0,66.97,no,rejected
female,ews,arts,none,0,94.87,no,rejected
male,st,computer applications,none,0,84.04,no,rejected
male,ews,medical,neet,380,72.17,no,rejected
other,obc,computer applications,cet,134,68.59,no,rejected
male,ews,medical,neet,465,94.59,yes,admitted
male,ews,management,none,0,65.82,no,rejected
other,general,management,none,0,72.37,no,rejected
male,ews,architecture,cet,80,70.17,no,rejected
female,general,science,cet,94,98.56,no,rejected
male,sc,pharmacy,none,0,93.9,no,rejected
other,general,computer applications,cet,165,84.86,no,rejected
male,sc,commerce,cet,38,79.33,no,admitted
female,general,nursing,none,0,75.01,no,rejected
female,ews,medical,neet,194,55.25,yes,admitted
other,sc,agriculture,cet,53,94.91,no,rejected
male,ews,arts,none,0,98.84,yes,admitted
female,sc,management,none,0,87.09,no,rejected
female,sc,science,none,0,64.29,no,admitted
male,st,architecture,cet,59,69.56,no,rejected
male,ews,architecture,none,0,90.59,yes,admitted
other,obc,law,none,0,91.77,yes,admitted
female,sc,agriculture,cet,3,65.29,no,rejected
female,obc,agriculture,none,0,84.02,no,rejected
other,general,medical,neet,5,97.18,yes,admitted
female,ews,computer applications,cet,51,86.78,no,rejected
other,sc,architecture,cet,198,70.41,no,admitted
other,obc,pharmacy,cet,111,75.09,yes,admitted
female,st,medical,neet,589,88.36,yes,admitted
male,ews,architecture,none,0,51.49,no,rejected
female,ews,arts,none,0,93.65,yes,admitted
male,sc,engineering,jee,251,57.4,no,admitted
other,general,science,cet,53,94.45,yes,admitted
male,sc,medical,neet,499,99.53,no,rejected
other,sc,commerce,cet,122,52.55,no,rejected
female,obc,science,none,0,98.1,yes,admitted
female,sc,agriculture,cet,188,61.35,yes,admitted
male,sc,commerce,cet,3,73.28,yes,admitted
male,ews,law,cet,198,54.13,yes,admitted
other,general,management,none,0,61.61,yes,admitted
other,st,medical,neet,273,62.23,no,rejected
male,st,arts,none,0,59.3,no,rejected
male,obc,science,none,0,92.29,no,rejected
male,obc,pharmacy,cet,54,98.81,yes,admitted
other,ews,agriculture,none,0,65.25,no,rejected
female,obc,pharmacy,none,0,86.95,no,rejected
male,st,arts,none,0,57.59,no,rejected
male,sc,medical,neet,381,97.27,yes,admitted
male,ews,nursing,none,0,84.87,no,rejected
other,st,law,none,0,84.99,yes,admitted
other,ews,pharmacy,cet,130,62.33,yes,admitted
female,ews,pharmacy,cet,95,76.25,no,rejected
other,general,pharmacy,cet,148,70.36,no,rejected
male,ews,medical,neet,243,93.4,no,rejected
female,ews,law,cet,10,82.82,no,admitted
male,general,law,none,0,63.99,no,rejected
other,sc,computer applications,none,0,55.19,no,rejected
female,obc,law,none,0,90.36,yes,admitted
other,ews,agriculture,cet,109,53.29,no,rejected
female,obc,architecture,cet,101,73.1,no,admitted
female,general,medical,neet,290,82.42,yes,admitted
other,general,agriculture,cet,154,80.04,no,rejected
other,st,arts,cet,170,55.98,no,rejected
female,general,management,cet,93,82.37,no,admitted
female,obc,commerce,none,0,62.01,no,rejected
female,sc,computer applications,none,0,77.84,no,rejected
male,general,agriculture,cet,48,62.43,no,rejected
female,general,engineering,cet,83,69.35,no,rejected
other,ews,management,none,0,87.31,yes,admitted
other,sc,management,cet,146,62.68,no,rejected
female,obc,commerce,none,0,92.61,yes,admitted
female,ews,arts,none,0,72.69,no,rejected
other,general,arts,cet,109,99.53,no,rejected
male,obc,law,none,0,80.51,no,admitted
male,ews,law,cet,159,57.99,no,rejected
male,st,agriculture,none,0,87.44,no,rejected
male,sc,nursing,none,0,80.52,no,admitted
other,ews,nursing,cet,21,55.92,no,rejected
male,sc,law,none,0,53.42,no,rejected
male,st,management,cet,189,91.23,yes,admitted
female,ews,engineering,jee,22,74.37,no,rejected
female,sc,engineering,cet,133,84.69,no,rejected
other,sc,management,cet,2,75.05,no,rejected
other,st,architecture,cet,83,91.38,no,rejected
female,general,medical,neet,297,58.06,no,rejected
male,sc,architecture,cet,98,55.55,no,rejected
male,st,architecture,cet,92,69.46,no,rejected
other,obc,management,cet,15,75.98,no,admitted
female,st,pharmacy,cet,189,80.98,no,rejected
other,sc,computer applications,cet,113,61.8,no,rejected
female,general,computer applications,cet,182,87.89,yes,admitted
other,general,architecture,cet,31,86.77,yes,admitted
female,sc,pharmacy,cet,76,74.54,no,rejected
other,general,computer applications,none,0,73.61,no,admitted
female,obc,science,none,0,85.9,no,rejected
male,sc,nursing,cet,51,99.53,yes,admitted
male,general,agriculture,cet,193,68.92,yes,admitted
male,sc,pharmacy,cet,95,63.71,no,rejected
female,obc,agriculture,none,0,74.02,no,rejected
other,obc,management,cet,31,62.29,no,rejected
female,ews,law,cet,95,52.99,no,rejected
other,ews,law,none,0,97.66,no,rejected
male,obc,architecture,cet,47,67.61,no,rejected
female,ews,commerce,none,0,75.53,no,admitted
female,obc,pharmacy,cet,116,55.15,no,rejected
male,obc,arts,none,0,86.79,no,rejected
female,ews,pharmacy,cet,103,74.04,no,admitted
female,general,arts,none,0,58.89,no,rejected
female,obc,medical,neet,557,63.22,no,admitted
female,ews,management,cet,74,80.8,no,rejected
male,ews,law,none,0,93.11,yes,admitted
other,ews,science,cet,42,55.41,no,rejected
male,ews,science,none,0,59.42,no,rejected
other,ews,pharmacy,cet,106,93.16,yes,admitted
other,sc,computer applications,none,0,86.61,yes,admitted
male,obc,commerce,cet,76,96.35,no,rejected
male,obc,agriculture,cet,1,57.88,no,rejected
female,general,computer applications,none,0,82.79,yes,admitted
other,general,engineering,cet,72,61.6,no,rejected
female,ews,medical,neet,486,65.13,no,rejected
female,general,management,none,0,76.94,yes,admitted
other,st,pharmacy,cet,141,69.13,no,admitted
female,obc,medical,neet,197,78.39,no,rejected
other,st,nursing,none,0,69.19,no,rejected
other,sc,engineering,jee,209,87.63,no,rejected
male,general,arts,cet,61,61.8,no,rejected
female,obc,engineering,jee,0,53.62,no,rejected
male,st,agriculture,none,0,89.19,no,rejected
male,ews,law,cet,182,94.72,yes,admitted
male,obc,architecture,none,0,91.15,yes,admitted
male,obc,computer applications,none,0,72.37,no,rejected
male,st,commerce,none,0,72.2,no,rejected
other,sc,commerce,cet,1,65.44,no,rejected
female,general,architecture,cet,177,73.36,no,rejected
female,general,nursing,none,0,51.73,no,rejected
other,obc,science,cet,23,83.51,no,admitted
other,obc,law,none,0,85.17,no,rejected
female,general,commerce,none,0,90.89,yes,admitted
female,st,science,cet,81,82.3,no,rejected
female,sc,science,none,0,58.89,no,rejected
female,st,law,none,0,92.92,no,rejected
female,general,medical,neet,420,68.76,no,rejected
male,sc,architecture,cet,75,81.99,no,admitted
male,sc,science,cet,48,60.68,no,rejected
male,sc,pharmacy,cet,158,70.49,no,admitted
female,ews,science,none,0,81.45,no,rejected
other,sc,law,none,0,82.81,no,admitted
female,sc,medical,neet,305,65.2,no,admitted
male,ews,science,none,0,79.85,yes,admitted
other,obc,management,none,0,79.68,no,rejected
female,general,law,none,0,95.37,no,rejected
male,st,arts,none,0,76.56,no,rejected
male,general,pharmacy,cet,145,71.98,no,rejected
female,obc,nursing,cet,0,73.53,yes,admitted
other,sc,computer applications,cet,27,54.33,no,rejected
male,sc,arts,none,0,71.05,no,rejected
other,general,pharmacy,cet,100,91.45,yes,admitted
other,sc,science,none,0,97.07,yes,admitted
male,ews,management,cet,79,58.99,no,admitted
male,general,agriculture,cet,174,84.83,no,rejected
male,sc,agriculture,none,0,75.5,no,rejected
female,sc,science,none,0,97.05,no,rejected
male,obc,management,none,0,72.73,no,admitted
other,sc,science,none,0,60.97,no,rejected
male,obc,engineering,cet,99,52.25,no,rejected
female,general,management,none,0,87.56,no,rejected
other,ews,law,cet,172,85.98,no,rejected
male,ews,commerce,none,0,96.32,yes,admitted
male,obc,pharmacy,cet,94,53.02,no,rejected
other,general,law,none,0,99.13,yes,admitted
male,general,science,cet,125,59.22,no,rejected
female,ews,law,cet,20,78.05,no,rejected
male,ews,engineering,jee,108,78.26,no,rejected
male,sc,computer applications,none,0,52.04,no,rejected
female,ews,nursing,none,0,81.2,no,rejected
female,obc,pharmacy,cet,126,66.97,no,rejected
female,sc,architecture,cet,58,91.77,yes,admitted
other,general,management,none,0,76.63,no,rejected
male,sc,law,none,0,53.72,no,rejected
female,st,nursing,none,0,78.19,no,rejected
male,ews,commerce,none,0,98.01,no,rejected
other,st,management,none,0,90.88,yes,admitted
female,st,commerce,cet,127,87.34,no,rejected
other,st,commerce,cet,111,95.16,no,rejected
male,st,law,none,0,85.16,yes,admitted
female,sc,computer applications,none,0,58.24,yes,admitted
male,sc,arts,none,0,68.84,no,rejected
male,general,agriculture,cet,156,54.78,no,rejected
other,general,arts,none,0,74.67,no,rejected
other,st,law,none,0,62.64,no,rejected
male,sc,pharmacy,cet,137,85.6,yes,admitted
female,ews,architecture,none,0,53.93,no,rejected
other,general,law,none,0,53.83,no,rejected
male,obc,law,none,0,97.56,no,rejected
other,obc,engineering,cet,120,92.5,yes,admitted
male,ews,medical,neet,62,67.66,no,rejected
female,obc,medical,neet,31,50.44,no,rejected
other,st,management,cet,125,64.26,no,admitted
other,general,arts,none,0,62.58,no,rejected
male,sc,law,none,0,87.19,yes,admitted
male,sc,pharmacy,cet,48,73.62,no,rejected
male,st,arts,none,0,78.48,no,rejected
female,sc,medical,neet,476,94.53,yes,admitted
male,general,law,none,0,70.81,no,rejected
other,general,arts,none,0,50.44,no,rejected
male,general,pharmacy,cet,107,97.69,no,rejected
female,obc,architecture,none,0,76.56,no,rejected
other,st,computer applications,none,0,55.61,no,admitted
female,obc,pharmacy,none,0,91.85,yes,admitted
female,ews,agriculture,cet,50,59.61,no,rejected
male,general,nursing,cet,83,85.26,yes,admitted
other,sc,management,none,0,66.87,no,rejected
other,st,nursing,cet,78,96.84,yes,admitted
other,general,nursing,cet,122,78.58,no,rejected
male,sc,agriculture,none,0,64.01,no,rejected
female,general,medical,neet,160,68.12,no,rejected
other,st,management,none,0,73.48,yes,admitted
other,sc,medical,neet,51,94.69,yes,admitted
female,ews,commerce,none,0,71.63,no,rejected
other,st,computer applications,none,0,79.17,no,rejected
male,obc,pharmacy,none,0,59.17,no,rejected
other,general,architecture,cet,69,59.52,no,rejected
female,general,arts,none,0,56.19,no,rejected
other,general,agriculture,cet,61,59.02,no,rejected
female,obc,arts,none,0,67.01,no,admitted
female,st,management,none,0,65.99,no,rejected
other,obc,computer applications,none,0,87.29,no,rejected
